cod_producto;descripcion_raiz;desc_ext;concentracion;id_forma;id_labo;habilitaciones
234500033;CLARICORT;;;13;725;PANAMA
120810034;CLARIFER;;250MG;6;416;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
120810016;CLARIFER;;500MG;1;416;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
159360067;CLARIFEX;PURIFICANT;;20;619;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS
159360167;CLARIFEX;FACIAL;;20;619;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS
159360267;CLARIFEX;CORPORAL;;20;619;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS
6780014;CLARIGRIP;LIB PROLON;;55;239;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
126980012;CLARILAP LAM;;500MG;9;56;R.DOMINICANA
10570016;CLARIMICIN;;500MG;1;10;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
10570034;CLARIMICIN;;250MG;6;10;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
184740016;CLARIN;;500MG;1;539;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
48770065;CLARINA;;;5;535;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
1320016;CLARINASE;;;1;239;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
1320033;CLARINASE;;;13;239;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
234040098;CLARINEX;;0.05%;52;104;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
113320034;CLARIRARPE;;250MG;6;51;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
197920016;CLARIRON;;500MG;1;541;NICARAGUA
197920051;CLARIRON;;500MG;29;541;NICARAGUA
160130012;CLARISTON;;500MG;9;11;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
160130034;CLARISTON;;250MG;6;11;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
42700033;CLARITA-X;;;13;85;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
42700016;CLARITA-X;;500MG;1;85;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
42700233;CLARITA-X;;250MG;13;85;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
27160012;CLARITEC;;500MG;9;609;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
81150033;CLARITISIL;;;13;128;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
81150016;CLARITISIL;;10MG;1;128;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
81160011;CLARITISIL D;;;12;128;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
81160033;CLARITISIL D;;;13;128;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
56810016;CLARITROBAC;;500MG;1;85;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
56810234;CLARITROBAC;;250MG;6;85;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
58520016;CLARITROL;;250MG;1;726;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
58520033;CLARITROL;;;13;726;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
58520116;CLARITROL;;500MG;1;726;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
188780034;CLARITROMICIN.ARG;;250MG/5ML;6;138;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
188780016;CLARITROMICIN.ARG;;500MG;1;138;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
99940016;CLARITROMICIN.CAX;;500MG;1;48;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
99940034;CLARITROMICIN.CAX;;250MG;6;48;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
183030034;CLARITROMICIN.FAN;;250MG/5ML;6;108;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
87600016;CLARITROMICIN.GEF;;500MG;1;53;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
87600116;CLARITROMICIN.GEF;;250MG;1;53;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
141470034;CLARITROMICIN.GFR;;250MG;6;368;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
141470016;CLARITROMICIN.GFR;;500MG;1;368;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
186480016;CLARITROMICIN.IBF;;500MG;1;43;R.DOMINICANA
87590016;CLARITROMICIN.L.Z;;500MG;1;142;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
155140012;CLARITROMICIN.LAM;;500MG;9;56;R.DOMINICANA
1000016;CLARITROMICIN.LNI;;250MG;1;44;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
1000034;CLARITROMICIN.LNI;;250MG;6;44;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
1000052;CLARITROMICIN.LNI;;500MG;3;44;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
1000116;CLARITROMICIN.LNI;;500MG;1;44;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
1000134;CLARITROMICIN.LNI;;125MG;6;44;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
98140016;CLARITROMICIN.LST;;500MG;1;115;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
98140034;CLARITROMICIN.LST;;125MG;6;115;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
98140134;CLARITROMICIN.LST;;250MG;6;115;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
1010034;CLARITROMICIN.M.K;;125MG;6;54;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
1010134;CLARITROMICIN.M.K;;250MG;6;54;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
1010113;CLARITROMICIN.M.K;;500MG;2;54;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
110380016;CLARITROMICIN.MCK;;500MG;1;57;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
140630012;CLARITROMICIN.NRM;;250MG;9;125;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
140630112;CLARITROMICIN.NRM;;500MG;9;125;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
120030016;CLARITROMICIN.PAY;;500MG;1;190;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
149030034;CLARITROMICIN.PL;;125MG;6;39;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
149030016;CLARITROMICIN.PL;;500MG;1;39;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
149030134;CLARITROMICIN.PL;;250MG;6;39;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
209820013;CLARITROMICIN.SEL;;500MG;2;18;GUATEMALA-COSTA_RICA-EL SALVADOR-NICARAGUA-HONDURAS
209820034;CLARITROMICIN.SEL;;250MG/5ML;6;18;GUATEMALA-COSTA_RICA-EL SALVADOR-NICARAGUA-HONDURAS
147780034;CLARITROTEG;;250MG;6;273;GUATEMALA-EL SALVADOR
147780016;CLARITROTEG;;500MG;1;273;GUATEMALA-EL SALVADOR
219720030;CLARITROVAN;TABS;500MG;14;202;GUATEMALA
980016;CLARITYNE;;10MG;1;104;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
980033;CLARITYNE;;;13;104;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
980032;CLARITYNE;;;8;104;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
980116;CLARITYNE;FAST;;1;104;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
980216;CLARITYNE;;5MG;1;104;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
85620016;CLARITYNE CORT;;5/0.25MG;1;104;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
85620033;CLARITYNE CORT;;;13;104;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
85630016;CLARITYNE D;REPET.;;1;104;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
